--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-08-31 16:56:39

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   GA Params                                                                       
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------------------------------------- 
8            P6_3mc          hexagonal          -4.826398                 5          2        13       D1:0.250, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 11.830), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          3        33       D1:0.250, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 11.830), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          3        17       D1:2.261, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
32           P6_3mc          hexagonal          -4.826398                 4          2        25       D1:1.000, R21:0.000, Cell:(0.000, 0.000, -0.073, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          3        8        D1:1.000, R21:0.000, Cell:(-0.153, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          3        5        D1:3.228, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          1        9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          1        9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          1        9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          1        9        D1:0.250, R21:0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          2        19       D1:1.000, R21:-0.052, Cell:(0.070, 0.070, 0.070, -21.278, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          3        3        D1:1.000, R21:-0.250, Cell:(0.000, 0.254, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          2        19       D1:1.000, R21:-0.250, Cell:(0.000, 0.254, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          2        7        D1:1.000, R21:0.000, Cell:(0.000, -0.275, 0.185, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
4            P6_3mc          hexagonal          -4.826398                 5          3        23       D1:1.000, R21:0.000, Cell:(-0.070, -0.128, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:False
32           P6_3mc          hexagonal          -4.826398                 5          2        18       D1:2.493, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          2        34       D1:1.000, R21:-0.250, Cell:(-0.165, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 4          3        2        D1:1.000, R21:0.000, Cell:(0.000, 0.351, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          1        22       D1:4.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
